ID Provinsi,Nama Provinsi,ID Kota/Kabupaten,Nama Kota/Kabupaten,ID Kecamatan,Nama Kecamatan,ID Kelurahan/Desa,Nama Kelurahan/Desa,ID TPS,Nama TPS,DPT,DPTb,DPK,Paslon 01,Paslon 02,Paslon 03,Suara Sah,Suara Tidak Sah,Total Suara,Status,Gambar Formulir Model C.Hasil-PPWP ke-1,Gambar Formulir Model C.Hasil-PPWP ke-2,Gambar Formulir Model C.Hasil-PPWP ke-3
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001001,TPS 001,null,null,null,56,72,75,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/0dfc/pemilu/ppwp/34/04/07/20/01/3404072001001-20240215-033935--4b4f99e2-4c20-418a-b257-e4c847a9aa35.jpg,https://sirekap-obj-formc.kpu.go.id/0dfc/pemilu/ppwp/34/04/07/20/01/3404072001001-20240215-033818--8ee5b676-0891-44a2-a1b2-147efbf703a1.jpg,https://sirekap-obj-formc.kpu.go.id/0dfc/pemilu/ppwp/34/04/07/20/01/3404072001001-20240216-102117--6530218d-84f2-48b6-98b4-32cb4de1b811.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001002,TPS 002,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001003,TPS 003,null,null,null,68,62,95,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/ca31/pemilu/ppwp/34/04/07/20/01/3404072001003-20240214-231519--501c6285-04b1-4787-b56a-d6f61c835f8f.jpg,https://sirekap-obj-formc.kpu.go.id/ca31/pemilu/ppwp/34/04/07/20/01/3404072001003-20240214-231600--3907214b-be0a-44e7-8356-e1347cbe9723.jpg,https://sirekap-obj-formc.kpu.go.id/ca31/pemilu/ppwp/34/04/07/20/01/3404072001003-20240214-231629--d76d7b4f-3701-4b78-b93e-410eeabc7fb2.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001004,TPS 004,285,16,2,66,95,91,252,10,262,VALID,https://sirekap-obj-formc.kpu.go.id/0f1a/pemilu/ppwp/34/04/07/20/01/3404072001004-20240215-232328--11befbe2-9c6f-4b0f-aa06-d7e4b8c72f77.jpg,https://sirekap-obj-formc.kpu.go.id/0f1a/pemilu/ppwp/34/04/07/20/01/3404072001004-20240215-232332--8446f3a6-2b2e-44f8-b9bc-441df9797d38.jpg,https://sirekap-obj-formc.kpu.go.id/0f1a/pemilu/ppwp/34/04/07/20/01/3404072001004-20240215-232330--0b5ba868-3ce5-4a2b-9a1e-e298387d4b6b.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001005,TPS 005,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001006,TPS 006,null,null,null,null,null,null,null,null,null,PROCESS,https://sirekap-obj-formc.kpu.go.id/c6b5/pemilu/ppwp/34/04/07/20/01/3404072001006-20240215-031552--94044ed7-ff0b-4334-9259-ff8819f09a01.jpg,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001007,TPS 007,233,16,6,62,91,53,206,5,211,VALID,https://sirekap-obj-formc.kpu.go.id/1242/pemilu/ppwp/34/04/07/20/01/3404072001007-20240216-151241--34d619a3-64bb-4379-a281-67e9d4e34f45.jpg,https://sirekap-obj-formc.kpu.go.id/1242/pemilu/ppwp/34/04/07/20/01/3404072001007-20240216-151243--df6c7285-90c7-48a6-9bc9-d4287d2bae6e.jpg,https://sirekap-obj-formc.kpu.go.id/1242/pemilu/ppwp/34/04/07/20/01/3404072001007-20240216-151242--a96e0cec-445e-4855-9fd7-cc43a683040b.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001008,TPS 008,284,10,3,83,87,62,232,3,235,VALID,https://sirekap-obj-formc.kpu.go.id/8522/pemilu/ppwp/34/04/07/20/01/3404072001008-20240214-155017--14531a84-2392-4bd5-87ea-3ed321a1af2a.jpg,https://sirekap-obj-formc.kpu.go.id/8522/pemilu/ppwp/34/04/07/20/01/3404072001008-20240214-155057--4af68344-35ae-4259-9db7-c9984c9fc2dc.jpg,https://sirekap-obj-formc.kpu.go.id/8522/pemilu/ppwp/34/04/07/20/01/3404072001008-20240214-155136--46b77523-1536-4de0-8837-28c9190b9f6d.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001009,TPS 009,null,null,null,75,78,70,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/c2e0/pemilu/ppwp/34/04/07/20/01/3404072001009-20240214-230603--c6232a89-eecf-4fb4-9d98-54b0a4157630.jpg,https://sirekap-obj-formc.kpu.go.id/c2e0/pemilu/ppwp/34/04/07/20/01/3404072001009-20240214-230829--0df9f076-612f-436f-a86d-c9b627bf2075.jpg,https://sirekap-obj-formc.kpu.go.id/c2e0/pemilu/ppwp/34/04/07/20/01/3404072001009-20240214-231010--e8433de7-9780-4527-848a-1d74fc133987.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001010,TPS 010,277,13,3,90,88,69,247,2,249,VALID,https://sirekap-obj-formc.kpu.go.id/6181/pemilu/ppwp/34/04/07/20/01/3404072001010-20240215-002942--aa5f3987-12dc-4219-a582-00322e0d134f.jpg,https://sirekap-obj-formc.kpu.go.id/6181/pemilu/ppwp/34/04/07/20/01/3404072001010-20240215-003052--acff7d3d-c070-467a-8584-6d6d4b813642.jpg,https://sirekap-obj-formc.kpu.go.id/6181/pemilu/ppwp/34/04/07/20/01/3404072001010-20240215-003225--3b6cb4c6-25f1-4475-a401-b90f77b9ca73.jpg
