ID Provinsi,Nama Provinsi,ID Kota/Kabupaten,Nama Kota/Kabupaten,ID Kecamatan,Nama Kecamatan,ID Kelurahan/Desa,Nama Kelurahan/Desa,ID TPS,Nama TPS,DPT,DPTb,DPK,Paslon 01,Paslon 02,Paslon 03,Suara Sah,Suara Tidak Sah,Total Suara,Status,Gambar Formulir Model C.Hasil-PPWP ke-1,Gambar Formulir Model C.Hasil-PPWP ke-2,Gambar Formulir Model C.Hasil-PPWP ke-3
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001001,TPS 001,0,0,0,49,104,84,237,10,247,VALID,https://sirekap-obj-formc.kpu.go.id/bdfe/pemilu/ppwp/34/04/06/20/01/3404062001001-20240216-160300--505a1b41-25c5-4535-8c5b-a7927adaf894.jpg,https://sirekap-obj-formc.kpu.go.id/bdfe/pemilu/ppwp/34/04/06/20/01/3404062001001-20240216-160301--ffe031e2-7203-4620-a10b-3e9eedc9c3a0.jpg,https://sirekap-obj-formc.kpu.go.id/bdfe/pemilu/ppwp/34/04/06/20/01/3404062001001-20240216-160301--20c3de06-d9c2-4b52-b73b-77aced9209d0.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001002,TPS 002,245,9,3,43,93,75,211,5,216,VALID,https://sirekap-obj-formc.kpu.go.id/2439/pemilu/ppwp/34/04/06/20/01/3404062001002-20240216-104446--46661c75-dd32-4a5e-a913-11332e227304.jpg,https://sirekap-obj-formc.kpu.go.id/2439/pemilu/ppwp/34/04/06/20/01/3404062001002-20240216-093629--33bbe2b5-77fd-4768-938f-26060f21308c.jpg,https://sirekap-obj-formc.kpu.go.id/2439/pemilu/ppwp/34/04/06/20/01/3404062001002-20240216-093626--16d4186c-ed0e-4d6e-a1f8-a16f586df109.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001003,TPS 003,null,null,null,62,127,43,null,null,null,INVALID,null,https://sirekap-obj-formc.kpu.go.id/7f0d/pemilu/ppwp/34/04/06/20/01/3404062001003-20240214-162220--3dd0711e-d12e-4585-842c-df42ae2606ae.jpg,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001004,TPS 004,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001005,TPS 005,203,8,2,54,92,40,186,6,192,VALID,https://sirekap-obj-formc.kpu.go.id/5953/pemilu/ppwp/34/04/06/20/01/3404062001005-20240216-115727--fa8e5346-b86a-4799-810f-856e93db1d32.jpg,https://sirekap-obj-formc.kpu.go.id/5953/pemilu/ppwp/34/04/06/20/01/3404062001005-20240216-115733--aa36ee30-63fc-4a80-b98d-1657ba477549.jpg,https://sirekap-obj-formc.kpu.go.id/5953/pemilu/ppwp/34/04/06/20/01/3404062001005-20240216-115730--2fdbedd1-f2bc-4be3-a4f8-e0020a0a3011.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001006,TPS 006,null,null,null,41,76,80,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/ff23/pemilu/ppwp/34/04/06/20/01/3404062001006-20240215-010035--18e274cb-2c99-4506-810f-91ba9ea72300.jpg,https://sirekap-obj-formc.kpu.go.id/ff23/pemilu/ppwp/34/04/06/20/01/3404062001006-20240215-010225--ea625915-038e-427d-903a-328571b8fce9.jpg,https://sirekap-obj-formc.kpu.go.id/ff23/pemilu/ppwp/34/04/06/20/01/3404062001006-20240215-010506--974b4339-5fbd-4f44-992c-225035b04074.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001007,TPS 007,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001008,TPS 008,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001009,TPS 009,null,null,null,33,140,59,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/149b/pemilu/ppwp/34/04/06/20/01/3404062001009-20240214-155124--3a59ed74-437e-47a2-a4c4-c7bff5ece873.jpg,https://sirekap-obj-formc.kpu.go.id/149b/pemilu/ppwp/34/04/06/20/01/3404062001009-20240214-155442--3dcc0f61-5abd-4279-b9ae-6e548a34202a.jpg,https://sirekap-obj-formc.kpu.go.id/149b/pemilu/ppwp/34/04/06/20/01/3404062001009-20240214-155543--c9722db9-d397-4e06-9e2b-0de79ccf09bd.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001010,TPS 010,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
